Official Name,NORAD Number,Nation,Operator,Users,Application,Detailed Purpose,Orbit,Class of Orbit,Type of Orbit,Period (minutes),Mass (kg),COSPAR Number,Date of Launch,Expected Lifetime (yrs),Equipment,Describe
AsiaSat-9,42942,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,"35783km × 35790km, 0.02°",GEO,,1436.1,"6,140",2017-057A,28/09/2017,15,,"38 Ku-band, 28 C-band transponders. "
AsiaStar ,26107,USA,1Worldspace,Commercial,Communications,,"35773km × 35801km, 0.02°",GEO,,1436.15,"2,775",2000-016A,21/03/2000,15,,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers."
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),40298,Japan,Japan Space Systems,Government,Earth Observation,Optical Imaging,"506km × 507km, 97.48°",LEO,Sun-Synchronous,94.75,500,2014-070A,06/11/2014,3,,Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).
ASNARO 2 (Advanced Satellite with New system Architecture for Observation),43152,Japan,Japan Space Systems,Government,Earth Observation,Radar Imaging,"493km × 505km, 97.3°",LEO,Sun-Synchronous,94.5,570,2018-007A,17/01/2018,3,,X-band radar.
Astra 1D ,23331,Luxembourg,SES S.A.,Commercial,Communications,,"35776km × 35795km, 1.15°",GEO,,1436.08,"2,924",1994-070A,01/11/1994,15,,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.
Astra 1F ,23842,Luxembourg,SES S.A.,Commercial,Communications,,"35778km × 35797km, 0.03°",GEO,,1436.15,"3,010",1996-021A,18/04/1996,15,,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.
Astra 1G ,25071,Luxembourg,SES S.A.,Commercial,Communications,,"35780km × 35791km, 0.04°",GEO,,1436.08,"3,379",1997-076A,02/12/1997,15,,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe
Astra 1KR,29055,Luxembourg,SES S.A.,Commercial,Communications,,"35766km × 35807km, 0.08°",GEO,,1436.1,"4,332",2006-012A,20/04/2006,15,,32 Ku-band transponders; direct-to-home broadcast services across Europe.
Astra 1L,31306,Luxembourg,SES S.A.,Commercial,Communications,,"35772km × 35798km, 0.05°",GEO,,1436.03,"4,500",2007-016A,04/05/2007,15,,"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter."
Astra 1M,33436,Luxembourg,SES S.A.,Commercial,Communications,,"35804km × 35852km, 0.14°",GEO,,1438.2,"5,345",2008-057A,05/11/2008,15,,Direct-to-home and HD television.
Astra 1N,37775,Luxembourg,SES S.A.,Commercial,Communications,,"35715km × 35780km, 0.12°",GEO,,1434.1,"5,350",2011-041A,06/08/2011,15,,Direct-to-home and HD television.
Astra 2A ,25462,Luxembourg,SES S.A.,Commercial,Communications,,"35776km × 35797km, 0.08°",GEO,,1436.12,"3,635",1998-050A,30/08/1998,15,,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after."
Astra 2B ,26494,Luxembourg,SES S.A.,Commercial,Communications,,"35772km × 35801km, 0.07°",GEO,,1436.11,"3,315",2000-054A,14/09/2000,14,,"Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland."
Astra 2C ,26853,Luxembourg,SES S.A.,Commercial,Communications,,"35768km × 35804km, 0.07°",GEO,,1436.12,"3,643",2001-025A,16/06/2001,15,,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe"
Astra 2D,26638,Luxembourg,SES S.A.,Commercial,Communications,,"35770km × 35802km, 0.07°",GEO,,1436.1,"1,420",2000-081A,19/12/2000,15,,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland."
Astra 2E (Eutelsat 28E),39285,Luxembourg,SES S.A.,Commercial,Communications,,"35781km × 35793km, 0.11°",GEO,,1436.12,"6,052",2013-056A,29/09/2013,15,,"Broadcast, Vsat and broadband services to Europe."
Astra 2F (Eutelsat 28F),38778,Luxembourg,SES S.A.,Commercial,Communications,,"35777km × 35795km, 0.06°",GEO,,1436.07,"6,000",2012-051A,28/09/2012,15,,"Prime position for SES - BBC, ITV, Channel 5."
Astra 2G (Eutelsat 28G),40364,Luxembourg,SES S.A.,Commercial,Communications,,"35785km × 35789km, 0.09°",GEO,,1436.11,"6,000",2014-089A,27/12/2014,15,,62 Ku-band transponders as well as 4 Ka-band transponders
Astra 3A ,27400,Luxembourg,SES S.A.,Commercial,Communications,,"35770km × 35804km, 0.06°",GEO,,1436.07,"1,500",2002-015B,29/03/2002,10,,"20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland."
Astra 3B,36581,Luxembourg,SES S.A.,Commercial,Communications,,"35768km × 35806km, 0.08°",GEO,,1436.11,"5,471",2010-021A,21/05/2010,15,,"60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market."
Astra 5B,39617,Luxembourg,SES S.A.,Commercial,Communications,,"35787km × 35793km, 0.05°",GEO,,1436.26,"5,724",2014-011B,22/03/2014,15,,Comsat to cover Eastern Europe with Direct to Home and cable feeds to digital television networks. It also carries a hosted L-band payload for the European Commission's European Geostationary Navigation Overlay Service (EGNOS).
Astranis Demosat-2,43127,USA,Astranis,Commercial,Technology Development,,"494km × 505km, 97.5°",LEO,Sun-Synchronous,94.5,,2018-004S,11/01/2018,,,Pathfinder for Astranis' small GEO satellites.
Astrocast 0.1,43798,Switzerland,Astrocast,Commercial,Communications,,"574km × 590km, 97.7°",LEO,Sun-Synchronous,96.3,4,2018-099AS,03/12/2018,,,Part of Spaceflight SSO-A mission. 
Astrocast 0.2,44083,Switzerland,Astrocast,Commercial,Communications,,"493km × 510km, 97.5°",LEO,Sun-Synchronous,94.6,4,2019-018F,01/04/2019,,,Astrocast 02 is meant to blaze a trail for IoT (Internet of Things) applications to be offered by Switzerland's Astrocast venture.
Astrosat,40930,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,,"632km × 649km, 5.99°",LEO,Equatorial,97.54,230,2015-052A,28/09/2015,5,,India's first space observatory.
AT&T T16,44333,USA,"DirecTV, Inc.",Commercial,Communications,,"35653km × 36757km, 0.02°",GEO,,1436.07,"6,350",2019-034A,20/06/2019,15,,DirecTV was bought out by AT&T in 2015. They intend to eliminate the DirecTV brand in the near future.
Athena,46275,USA,PointView Tech,Commercial,Communications,,"516km × 524km, 97.4°",LEO,Sun-Synchronous,94.5,138,2020-061D,02/09/2020,,,PointView's (subsidiary of Facebook) first satellite; will test technologies that could be used in a future constellation of small satellites to provide global broadband Internet services.
Athena-Fidus (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),39509,France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,,"35784km × 35788km, 0.05°",GEO,,1436.06,"3,080",2014-006B,06/02/2014,15,,"Carries 2 payloads, one each for France and Italy. Operates in the Ka and EHF bands."
Athenoxat-1 (Athene Noctua Experimental Satellite) ,41168,Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,,"532km × 550km, 14.98°",LEO,Equatorial,95.46,6,2015-077C,16/12/2015,,,Technology demonstrator nanosatellite for Earth remote sensing.
Aurora (Tabletsat-2U-EO),40017,Russia,SPUTNIX Ltd.,Commercial,Technology Development,,"583km × 618km, 97.99°",LEO,Sun-Synchronous,96.7,25,2014-033H,19/06/2014,1,,Technology demonstration and testing of new satellite bus to be used for first commercial Russian remote sensing.
Azerspace 1/Africasat-1a,39079,Azerbaijan,Azercosmos,Government,Communications,,"35778km × 35794km, 0.04°",GEO,,1436.08,"3,250",2013-006B,07/02/2013,15,,First satellite for Azerbaijan. Operating from an orbital slot assigned to Malaysia.
Azerspace 2/Intelsat-38,43632,Azerbaijan,Azercosmos,Government,Communications,,"35750km × 35750km, 0.02°",GEO,,1436.1,"3,500",2018-074A,25/09/2018,15,,Host Direct-to-Home (DTH) platforms for Central and Eastern Europe as well as the Asia-Pacific region. "Intelsat 38 will also provide connectivity for corporate networks and government applications in Africa."
AztecSat-1,45257,USA/Mexico,Autonomous Popular University of the State of Puebla,Government/Civil,Technology Development,,"412km × 423km, 51.6°",LEO,Non-Polar Inclined,92.9,2,1998-067RA,19/02/2020,,,Built collaboratively by NASA and the Mexican Space Agency. Designed to demonstrate inter-satellite communication using satellites in the Globalstar constellation.
Badr 4 (Arabsat 4B),29526,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,"35780km × 35791km, 0.07°",GEO,,1436.06,"3,304",2006-051A,08/11/2006,15,,28 Ku-band transponders; voice and video communications to West Asia region.
Badr 5 (Arabsat 5B),36592,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,"35834km × 35883km, 0.06°",GEO,,1439.76,"5,420",2010-025A,03/06/2010,15,,"Second generation; radio and tv communications to Middle East; 26 C-band, 24 ku-band transponders."
Badr 5A (Arabsat 5A),36745,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,"35605km × 35623km, 0.03°",GEO,,1427.27,"4,940",2010-032B,26/06/2010,15,,"26 C-band, 24 Ku-bandover sub-Saharan Africa, North Africa and the Middle East."
Badr 6 (Arabsat 4AR),33154,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,"35768km × 35805km, 0.05°",GEO,,1436.1,"3,400",2008-034B,07/07/2008,15,,"24 C-band, 20 Ku-band transponders, direct-to-home voice, video, and internet services to the Middle East and North Africa."
Badr 7 (Arabsat 6B),41029,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,"35768km × 35817km, 0.1°",GEO,,"1,436.00","5,500",2015-065B,10/11/2015,15,,
Bangabandhu 1 ,43463,Bangladesh,Bangladesh Telecommunication Regulatory Commission (BTRC),Government,Communications,,"35778km × 35793km, 0°",GEO,,"1,436.06","3,500",2018-044A,11/05/2018,15,,"26 Ku-Band and 14 C-Band transponders. Major applications include DTH, very small aperture terminal (VSAT) communications, backhaul and trunking, network restoration, and disaster preparedness and relief."
BARS-M (Cosmos 2503),40420,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,"570km × 586km, 97.7°",LEO,Sun-Synchronous,96.1,"4,000",2015-009A,27/02/2015,5,,Electronic intelligence gathering (ELINT).
BARS-M (Cosmos 2515),41394,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,"549km × 594km, 97.62°",LEO,Sun-Synchronous,96.10,"4,000",2016-020A,24/03/2016,5,,
BDSAGR-1,44879,China,"GasTianta and GZH-HNJ BDS AGR Co., Ltd.",Commercial,Earth Observation,,"613km × 634km, 97.9°",LEO,Sun-Synchronous,97.10,40,2019-093A,21/12/2019,3,,
Beesat-4,41619,Germany,Technical University Berlin,Civil,Technology Development,,"487km × 500km, 97°",LEO,Sun-Synchronous,94.50,1,2016-040W,22/06/2016,,,
Beesat-9 (Tubsat-17),44412,Germany,Technical University Berlin,Civil,Technology Development,,"514km × 546km, 97.5°",LEO,Sun-Synchronous,95.20,1,2019-038AC,05/07/2019,,,"Student built, will test an attitude control system."
Beidou 2-12 (Compass M3),38250,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21460km × 21595km, 55.16°",MEO,Non-Polar Inclined,773.19,"2,200",2012-018A,28/04/2012,8,,Part of Beidou constellation.
Beidou 2-13 (Compass M4),38251,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21452km × 21603km, 55.1°",MEO,Non-Polar Inclined,773.21,"2,200",2012-018B,28/04/2012,8,,Part of Beidou constellation.
Beidou 2-15 (Compass M6),38775,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21477km × 21574km, 55°",MEO,Non-Polar Inclined,773.1,"3,800",2012-050B,18/09/2012,8,,
Beidou 2-16 (Compass G-6),38953,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35775km × 35799km, 1.84°",GEO,,1436.11,"3,800",2012-059A,25/10/2012,8,,"Part of Beidou constellation, now operational."
Beidou 2-17 (IGSO-6),41434,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35676km × 35890km, 54.97°",GEO,,1435.92,"4,200",2016-021A,30/03/2016,8,,
Beidou 2-18 (Compass G-7),41586,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35776km × 35794km, 1.84°",GEO,,1436.1,"3,800",2016-037A,12/06/2016,8,,
Beidou 3I-1S,40549,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35796km × 36781km, 54.9°",GEO,,1461.81,"4,200",2015-019A,30/03/2015,8,,Third stage of Beidou constellation.
Beidou 3I-2S,40938,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35606km × 35953km, 55°",GEO,,1435.73,"4,200",2015-053A,29/09/2015,8,,
Beidou 3M1 ,43001,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21506km × 21549km, 55°",MEO,,773.2,800,2017-069A,05/11/2017,8,,Ultra-accurate rubidium atomic clocks on board
Beidou 3M1 (Beidou 23),44542,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21509km × 21561km, 55°",MEO,,773.2,800,2019-061A,22/09/2019,8,,
Beidou 3M1 (Beidou 24),44543,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21515km × 21554km, 55°",MEO,,773.2,800,2019-061B,22/09/2019,8,,
Beidou 3M1 (Beidou 25),43002,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21541km × 22549km, 55°",MEO,,773.2,800,2017-069B,05/11/2017,8,,Ultra-accurate rubidium atomic clocks on board
Beidou 3M-1S,40748,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21520km × 21549km, 55°",MEO,Non-Polar Inclined,773.2,800,2015-037A,25/07/2015,8,,
Beidou 3M-2S,40749,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21521km × 21550km, 55°",MEO,Non-Polar Inclined,773.3,800,2015-037B,25/07/2015,8,,
Beidou DW 26,43107,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21514km × 21541km, 55°",MEO,,773.2,800,2018-003A,11/01/2018,8,,
Beidou DW 27,43108,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21516km × 21539km, 55°",MEO,,773.2,800,2018-003B,11/01/2018,8,,
Beidou DW 28,43207,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21508km × 21547km, 55°",MEO,,773.2,800,2018-018A,12/02/2018,8,,
Beidou DW 29,43208,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21504km × 21551km, 55°",MEO,,773.2,800,2018-018B,12/02/2018,8,,
Beidou DW 30,43246,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21521km × 21533km, 55°",MEO,,773.2,800,2018-029A,29/03/2018,8,,
Beidou DW 31,43245,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21542km × 22191km, 55°",MEO,,773.2,800,2018-029B,29/03/2018,8,,
Beidou DW 32,43539,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35691km × 35876km, 55°",GEO,,1436.1,800,2018-057A,09/07/2018,8,,
Beidou DW 33,43581,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21509km × 21545km, 55°",MEO,,773.2,800,2018-062A,29/07/2018,8,,
Beidou DW 34,43582,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21516km × 21538km, 55°",MEO,,773.2,800,2018-062B,29/07/2018,8,,
Beidou DW 35,43602,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21514km × 21540km, 55°",MEO,,773.2,800,2018-067A,24/08/2018,8,,
Beidou DW 36,43603,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21518km × 21537km, 55°",MEO,,773.2,800,2018-067B,24/08/2018,8,,
Beidou DW 37,43622,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21533km × 22193km, 55°",MEO,,787.1,800,2018-072A,19/09/2018,8,,
Beidou DW 38,43623,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21513km × 21541km, 55°",MEO,,773.1,800,2018-072B,19/09/2018,8,,
Beidou DW 39,43647,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21541km × 22195km, 55°",MEO,,787.4,800,2018-078A,15/10/2018,8,,
Beidou DW 40,43648,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21537km × 22195km, 55°",MEO,,787.4,800,2018-078B,15/10/2018,8,,
Beidou DW 41,43683,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35776km × 35795km, 3°",GEO,,1436.06,800,2018-085A,01/11/2018,8,,
Beidou DW 42,43706,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21523km × 22194km, 55°",MEO,,787.1,800,2018-093A,18/11/2018,8,,
Beidou DW 43,43707,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21531km × 22194km, 55°",MEO,,787.1,800,2018-093B,18/11/2018,8,,
Beidou DW 44,44204,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35711km × 35847km, 55°",GEO,,1435.7,800,2019-023A,20/04/2019,8,,
Beidou DW 45,44231,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35773km × 35799km, 1.81°",GEO,,1436.06,800,2019-027A,17/05/2019,8,,
Beidou DW 46,44337,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35739km × 35838km, 55.05°",GEO,,1436.2,800,2019-035A,24/06/2019,8,,
Beidou DW 49 ,44709,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35681km × 35896km, 58.2°",GEO,,1436.2,"4,200",2019-073A,05/11/2019,8,,Part of Beidou constellation.
Beidou DW 50,44793,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21542km × 22194km, 54.9°",MEO,,787.4,800,2019-078A,23/11/2019,8,,
