Official Name,NORAD Number,Nation,Operator,Users,Application,Detailed Purpose,Orbit,Class of Orbit,Type of Orbit,Period (minutes),Mass (kg),International Designator,Date of Launch,Expected Lifetime (yrs),Equipment,Describe
Astra 2D,26638,Luxembourg,SES S.A.,Commercial,Communications,,"35770km × 35802km, 0.07°",GEO,,1436.1,"1,420",,19/12/2000,15,,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland."
Astra 2E,39285,Luxembourg,SES S.A.,Commercial,Communications,,"35781km × 35793km, 0.11°",GEO,,1436.12,"6,052",,29/09/2013,15,,"Broadcast, Vsat and broadband services to Europe."
Astra 2F,38778,Luxembourg,SES S.A.,Commercial,Communications,,"35777km × 35795km, 0.06°",GEO,,1436.07,"6,000",,28/09/2012,15,,"Prime position for SES - BBC, ITV, Channel 5."
Astra 2G,40364,Luxembourg,SES S.A.,Commercial,Communications,,"35785km × 35789km, 0.09°",GEO,,1436.11,"6,000",,27/12/2014,15,,62 Ku-band transponders as well as 4 Ka-band transponders
Astra 3A,27400,Luxembourg,SES S.A.,Commercial,Communications,,"35770km × 35804km, 0.06°",GEO,,1436.07,"1,500",,29/03/2002,10,,"20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland."
Astra 3B,36581,Luxembourg,SES S.A.,Commercial,Communications,,"35768km × 35806km, 0.08°",GEO,,1436.11,"5,471",,21/05/2010,15,,"60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market."
Astra 5B,39617,Luxembourg,SES S.A.,Commercial,Communications,,"35787km × 35793km, 0.05°",GEO,,1436.26,"5,724",,22/03/2014,15,,Comsat to cover Eastern Europe with Direct to Home and cable feeds to digital television networks. It also carries a hosted L-band payload for the European Commission’s European Geostationary Navigation Overlay Service (EGNOS).
Astranis Demosat-2,43127,USA,Astranis,Commercial,Technology Development,,"494km × 505km, 97.5°",LEO,Sun-Synchronous,94.5,,,11/01/2018,,,Pathfinder for Astranis' small GEO satellites.
Astrocast 0.1,43798,Switzerland,Astrocast,Commercial,Communications,,"574km × 590km, 97.7°",LEO,Sun-Synchronous,96.3,4,,03/12/2018,,,Part of Spaceflight SSO-A mission. 
Astrocast 0.2,44083,Switzerland,Astrocast,Commercial,Communications,,"493km × 510km, 97.5°",LEO,Sun-Synchronous,94.6,4,,01/04/2019,,,Astrocast 02 is meant to blaze a trail for IoT (Internet of Things) applications to be offered by Switzerland's Astrocast venture.
Astrosat,40930,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,,"632km × 649km, 5.99°",LEO,Equatorial,97.54,230,,28/09/2015,5,,India's first space observatory.
AT&T T16,44333,USA,"DirecTV, Inc.",Commercial,Communications,,"35653km × 36757km, 0.02°",GEO,,1436.07,"6,350",,20/06/2019,15,,DirecTV was bought out by AT&T in 2015. They intend to eliminate the DirecTV brand in the near future.
Athena-Fidus,39509,France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,,"35784km × 35788km, 0.05°",GEO,,1436.06,"3,080",,06/02/2014,15,,"Carries 2 payloads, one each for France and Italy. Operates in the Ka and EHF bands."
Athenoxat-1,41168,Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,,"532km × 550km, 14.98°",LEO,Equatorial,95.46,6,,16/12/2015,,,Technology demonstrator nanosatellite for Earth remote sensing.
ATL-1,44830,Hungary,ATL (Advanced Technology of Laser),Commercial,Technology Development,,"328km × 372km, 97°",LEO,Sun-Synchronous,92,1,,06/12/2019,,,5 cm by 5 cm picosat.
Aurora,40017,Russia,SPUTNIX Ltd.,Commercial,Technology Development,,"583km × 618km, 97.99°",LEO,Sun-Synchronous,96.7,25,,19/06/2014,1,,Technology demonstration and testing of new satellite bus to be used for first commercial Russian remote sensing.
Azerspace 1/Africasat-1a,39079,Azerbaijan,Azercosmos,Government,Communications,,"35778km × 35794km, 0.04°",GEO,,1436.08,"3,250",,07/02/2013,15,,First satellite for Azerbaijan. Operating from an orbital slot assigned to Malaysia.
Azerspace 2/Intelsat-38,43632,Azerbaijan,Azercosmos,Government,Communications,,"35750km × 35750km, 0.02°",GEO,,1436.1,"3,500",,25/09/2018,15,,Host Direct-to-Home (DTH) platforms for Central and Eastern Europe as well as the Asia-Pacific region.  Intelsat 38 will also provide connectivity for corporate networks and government applications in Africa. 
AztecSat-1,45257,USA/Mexico,Autonomous Popular University of the State of Puebla,Government/Civil,Technology Development,,"412km × 423km, 51.6°",LEO,Non-Polar Inclined,92.9,2,,19/02/2020,,,Built collaboratively by NASA and the Mexican Space Agency. Designed to demonstrate inter-satellite communication using satellites in the Globalstar constellation.
Badr 4,29526,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,"35780km × 35791km, 0.07°",GEO,,1436.06,"3,304",,08/11/2006,15,,28 Ku-band transponders; voice and video communications to West Asia region.
Badr 5,36592,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,"35834km × 35883km, 0.06°",GEO,,1439.76,"5,420",,03/06/2010,15,,"Second generation; radio and tv communications to Middle East; 26 C-band, 24 ku-band transponders."
Badr 5A,36745,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,"35605km × 35623km, 0.03°",GEO,,1427.27,"4,940",,26/06/2010,15,,"26 C-band, 24 Ku-bandover sub-Saharan Africa, North Africa and the Middle East."
Badr 6,33154,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,"35768km × 35805km, 0.05°",GEO,,1436.1,"3,400",,07/07/2008,15,,"24 C-band, 20 Ku-band transponders, direct-to-home voice, video, and internet services to the Middle East and North Africa."
Badr 7,41029,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,"35768km × 35817km, 0.1°",GEO,,"1,436.00","5,500",,10/11/2015,15,,
Bangabandhu 1,43463,Bangladesh,Bangladesh Telecommunication Regulatory Commission (BTRC),Government,Communications,,"35778km × 35793km, 0°",GEO,,"1,436.06","3,500",,11/05/2018,15,,"26 Ku-Band and 14 C-Band transponders. Major applications include DTH, very small aperture terminal (VSAT) communications, backhaul and trunking, network restoration, and disaster preparedness and relief."
Cosmos 2503,40420,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,"570km × 586km, 97.7°",LEO,Sun-Synchronous,96.1,"4,000",,27/02/2015,5,,Electronic intelligence gathering (ELINT).
Cosmos 2515,41394,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,"549km × 594km, 97.62°",LEO,Sun-Synchronous,96.10,"4,000",,24/03/2016,5,,
BDSAGR-1,44879,China,"GasTianta and GZH-HNJ BDS AGR Co., Ltd.",Commercial,Earth Observation,,"613km × 634km, 97.9°",LEO,Sun-Synchronous,97.10,40,,21/12/2019,3,,
Beesat-4,41619,Germany,Technical University Berlin,Civil,Technology Development,,"487km × 500km, 97°",LEO,Sun-Synchronous,94.50,1,,22/06/2016,,,
Beesat-9,44412,Germany,Technical University Berlin,Civil,Technology Development,,"514km × 546km, 97.5°",LEO,Sun-Synchronous,95.20,1,,05/07/2019,,,"Student built, will test an attitude control system."
Beidou 2-12,38250,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21460km × 21595km, 55.16°",MEO,Non-Polar Inclined,773.19,"2,200",,28/04/2012,8,,Part of Beidou constellation.
Beidou 2-13,38251,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21452km × 21603km, 55.1°",MEO,Non-Polar Inclined,773.21,"2,200",,28/04/2012,8,,Part of Beidou constellation.
Beidou 2-15,38775,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21477km × 21574km, 55°",MEO,Non-Polar Inclined,773.1,"3,800",,18/09/2012,8,,
Beidou 2-16,38953,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35775km × 35799km, 1.84°",GEO,,1436.11,"3,800",,25/10/2012,8,,"Part of Beidou constellation, now operational."
Beidou 2-17,41434,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35676km × 35890km, 54.97°",GEO,,1435.92,"4,200",,30/03/2016,8,,
Beidou 2-18,41586,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35776km × 35794km, 1.84°",GEO,,1436.1,"3,800",,12/06/2016,8,,
Beidou 3I-1S,40549,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35796km × 36781km, 54.9°",GEO,,1461.81,"4,200",,30/03/2015,8,,Third stage of Beidou constellation.
Beidou 3I-2S,40938,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35606km × 35953km, 55°",GEO,,1435.73,"4,200",,29/09/2015,8,,
Beidou 3-M1,43001,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21506km × 21549km, 55°",MEO,,773.2,800,,05/11/2017,8,,Ultra-accurate rubidium atomic clocks on board
Beidou 3-23,44542,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21509km × 21561km, 55°",MEO,,773.2,800,,22/09/2019,8,,
Beidou 3-24,44543,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21515km × 21554km, 55°",MEO,,773.2,800,,22/09/2019,8,,
Beidou 3-25,43002,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21541km × 22549km, 55°",MEO,,773.2,800,,05/11/2017,8,,Ultra-accurate rubidium atomic clocks on board
Beidou 3M-1S,40748,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21520km × 21549km, 55°",MEO,Non-Polar Inclined,773.2,800,,25/07/2015,8,,
Beidou 3M-2S,40749,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21521km × 21550km, 55°",MEO,Non-Polar Inclined,773.3,800,,25/07/2015,8,,
Beidou 3M-3S,41315,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21524km × 21532km, 55°",MEO,Non-Polar Inclined,773.2,800,,01/02/2016,8,,
Beidou DW 26,43107,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21514km × 21541km, 55°",MEO,,773.2,800,,11/01/2018,8,,
Beidou DW 27,43108,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21516km × 21539km, 55°",MEO,,773.2,800,,11/01/2018,8,,
Beidou DW 28,43207,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21508km × 21547km, 55°",MEO,,773.2,800,,12/02/2018,8,,
Beidou DW 29,43208,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21504km × 21551km, 55°",MEO,,773.2,800,,12/02/2018,8,,
Beidou DW 30,43246,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21521km × 21533km, 55°",MEO,,773.2,800,,29/03/2018,8,,
Beidou DW 31,43245,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21542km × 22191km, 55°",MEO,,773.2,800,,29/03/2018,8,,
Beidou DW 32,43539,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35691km × 35876km, 55°",GEO,,1436.1,800,,09/07/2018,8,,
Beidou DW 33,43581,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21509km × 21545km, 55°",MEO,,773.2,800,,29/07/2018,8,,
Beidou DW 34,43581,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21516km × 21538km, 55°",MEO,,773.2,800,,29/07/2018,8,,
Beidou DW 35,43602,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21514km × 21540km, 55°",MEO,,773.2,800,,24/08/2018,8,,
Beidou DW 36,43603,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21518km × 21537km, 55°",MEO,,773.2,800,,24/08/2018,8,,
Beidou DW 37,43622,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21533km × 22193km, 55°",MEO,,787.1,800,,19/09/2018,8,,
Beidou DW 38,43623,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21513km × 21541km, 55°",MEO,,773.1,800,,19/09/2018,8,,
Beidou DW 39,43647,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21541km × 22195km, 55°",MEO,,787.4,800,,15/10/2018,8,,
Beidou DW 40,43648,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21537km × 22195km, 55°",MEO,,787.4,800,,15/10/2018,8,,
Beidou DW 41,43683,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35776km × 35795km, 3°",GEO,,1436.06,800,,01/11/2018,8,,
Beidou DW 42,43706,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21523km × 22194km, 55°",MEO,,787.1,800,,18/11/2018,8,,
Beidou DW 43,43707,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21531km × 22194km, 55°",MEO,,787.1,800,,18/11/2018,8,,
Beidou DW 44,44204,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35711km × 35847km, 55°",GEO,,1435.7,800,,20/04/2019,8,,
Beidou DW 45,44231,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35773km × 35799km, 1.81°",GEO,,1436.06,800,,17/05/2019,8,,
Beidou DW 46,44337,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35739km × 35838km, 55.05°",GEO,,1436.2,800,,24/06/2019,8,,
Beidou 3 IGSO-3,44709,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35681km × 35896km, 58.2°",GEO,,1436.2,"4,200",,05/11/2019,8,,Part of Beidou constellation.
Beidou DW 50,44793,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21542km × 22194km, 54.9°",MEO,,787.4,800,,23/11/2019,8,,
Beidou DW 51,44794,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21537km × 22192km, 54.9°",MEO,,787.2,800,,23/11/2019,8,,
Beidou DW 52,44864,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21369km × 21561km, 55.02°",MEO,,770.6,800,,16/12/2019,8,,
Beidou DW 53,44865,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"21530km × 22108km, 55.02°",MEO,,785.35,800,,16/12/2019,8,,
Beidou DW 55,45807,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35764km × 35809km, 3.09°",GEO,,1436.1,800,,23/06/2020,8,,Final satellite in place to complete constellation.
Beidou G-1,36287,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35768km × 35803km, 1.78°",GEO,,1436.05,"2,200",,16/01/2010,8,,Part of Beidou constellation.
Beidou G3,45344,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35776km × 35797km, 3.08°",GEO,,1436.08,"2,200",,09/03/2020,8,,
Beidou G4,37210,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35764km × 35809km, 1.43°",GEO,,1436.1,"6,000",,31/10/2010,8,,Part of Beidou constellation.
Beidou G5,38091,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35776km × 35799km, 1.87°",GEO,,1436.15,"2,300",,24/02/2012,8,,Part of Beidou constellation.
Beidou IGSO-1,36828,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35670km × 35893km, 55.09°",GEO,,1435.82,"4,200",,31/07/2010,8,,Part of Beidou constellation.
Beidou IGSO-2,37256,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35717km × 35817km, 55.23°",GEO,,1436.12,"4,200",,17/12/2010,8,,Part of Beidou constellation.
Beidou IGSO-3,37384,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35693km × 37872km, 96.4°",GEO,,1435.93,"4,200",,09/04/2011,,,Part of Beidou constellation.
Beidou IGSO-4,37763,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35708km × 35879km, 55.2°",GEO,,1435.1,"4,200",,26/07/2011,8,,Part of Beidou constellation.
Beidou IGSO-5,37948,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,"35708km × 35864km, 55.16°",GEO,,1436.08,"4,200",,01/12/2011,8,,Part of Beidou constellation.
BeijinGalaxy-1,28890,China,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Commercial,Earth Observation,Optical Imaging,"681km × 703km, 97.9°",LEO,Sun-Synchronous,98.6,166,,27/10/2005,7,,Earth observation for Disaster Monitoring Constellation (DMC); also research.
Belintersat-1,41238,Belarus,Belintersat,Government,Communications,,"35779km × 35792km, 0.46°",GEO,,1436.06,"5,223",,15/01/2016,15,,"Belarus' first communications satellite - 10 transponders reserved, 2 for Belarus' government, and 8 for Chinese companies. Will market remaining capacity in Africa, Asia, Europe."
Bhutan-1,43591,Bhutan,Information and Communications Ministry,Government,Earth Observation,Optical Imaging,"398km × 409km, 51.6°",LEO,Non-Polar Inclined,95,2,,10/08/2018,,,Bhutan's first satellite. Development at Kyushu Institute of Technology by 4 Bhutanese students for their Master's program. 
Bispectral InfraRed Detector 2 (Bird 2),26959,Germany,Institute of Space Sensor Technology and Planetary Exploration,Government/Civil,Earth Observation/Technology Development,Optical Imaging,"500km × 521km, 97.9°",LEO,Sun-Synchronous,94.8,92,,22/10/2001,1.5,,Forest fire recognition by small satellites.
BIROS,41604,Germany,German Aerospace Center (DLR),Government,Earth Observation,Optical Imaging,"500km × 517km, 97.5°",LEO,Sun-Synchronous,94.7,130,,22/06/2016,,,Forest Fire recognition. Carries BeeSat 4 to be ejected later.
