Application,Class of Orbit,Date of Launch,Describe,Detailed Purpose,Equipment,Expected Lifetime (yrs),International Designator,Mass (kg),NORAD Number,Nation,Official Name,Operator,Orbit,Period (minutes),Type of Orbit,Users,_id
Communications,GEO,25/11/2011,"28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S.",,,15,,"3,813",37933,China,AsiaSat-7,Asia Satellite Telecommunications Co. Ltd.,"35782km � 35793km, 0.02�",1436.17,,Commercial,60e5620c98df02cf3580002d
Communications,GEO,05/08/2014,24 Ku-band transponders.,,,15,,"4,500",40107,China,AsiaSat-8,Asia Satellite Telecommunications Co. Ltd.,"35781km � 35793km, 0.07�",1436.1,,Commercial,60e5620c98df02cf3580002e
Communications,GEO,28/09/2017,"38 Ku-band, 28 C-band transponders. ",,,15,,"6,140",42942,China,AsiaSat-9,Asia Satellite Telecommunications Co. Ltd.,"35783km � 35790km, 0.02�",1436.1,,Commercial,60e5620c98df02cf3580002f
Communications,GEO,21/03/2000,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.",,,15,,"2,775",26107,USA,AsiaStar,1Worldspace,"35773km � 35801km, 0.02�",1436.15,,Commercial,60e5620c98df02cf35800030
Earth Observation,LEO,06/11/2014,Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).,Optical Imaging,,3,,500,40298,Japan,ASNARO-1,Japan Space Systems,"506km � 507km, 97.48�",94.75,Sun-Synchronous,Government,60e5620c98df02cf35800031
Earth Observation,LEO,17/01/2018,X-band radar.,Radar Imaging,,3,,570,43152,Japan,ASNARO-2,Japan Space Systems,"493km � 505km, 97.3�",94.5,Sun-Synchronous,Government,60e5620c98df02cf35800032
Communications,GEO,01/11/1994,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.,,,15,,"2,924",23331,Luxembourg,Astra 1D,SES S.A.,"35776km � 35795km, 1.15�",1436.08,,Commercial,60e5620c98df02cf35800033
Communications,GEO,18/04/1996,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.,,,15,,"3,010",23842,Luxembourg,Astra 1F,SES S.A.,"35778km � 35797km, 0.03�",1436.15,,Commercial,60e5620c98df02cf35800034
Communications,GEO,02/12/1997,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe,,,15,,"3,379",25071,Luxembourg,Astra 1G,SES S.A.,"35780km � 35791km, 0.04�",1436.08,,Commercial,60e5620c98df02cf35800035
Communications,GEO,20/04/2006,32 Ku-band transponders; direct-to-home broadcast services across Europe.,,,15,,"4,332",29055,Luxembourg,Astra 1KR,SES S.A.,"35766km � 35807km, 0.08�",1436.1,,Commercial,60e5620c98df02cf35800036
Communications,GEO,04/05/2007,"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter.",,,15,,"4,500",31306,Luxembourg,Astra 1L,SES S.A.,"35772km � 35798km, 0.05�",1436.03,,Commercial,60e5620c98df02cf35800037
Communications,GEO,05/11/2008,Direct-to-home and HD television.,,,15,,"5,345",33436,Luxembourg,Astra 1M,SES S.A.,"35804km � 35852km, 0.14�",1438.2,,Commercial,60e5620c98df02cf35800038
Communications,GEO,06/08/2011,Direct-to-home and HD television.,,,15,,"5,350",37775,Luxembourg,Astra 1N,SES S.A.,"35715km � 35780km, 0.12�",1434.1,,Commercial,60e5620c98df02cf35800039
Communications,GEO,30/08/1998,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after.",,,15,,"3,635",25462,Luxembourg,Astra 2A,SES S.A.,"35776km � 35797km, 0.08�",1436.12,,Commercial,60e5620c98df02cf3580003a
Communications,GEO,14/09/2000,"Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland.",,,14,,"3,315",26494,Luxembourg,Astra 2B,SES S.A.,"35772km � 35801km, 0.07�",1436.11,,Commercial,60e5620c98df02cf3580003b
Communications,GEO,16/06/2001,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe",,,15,,"3,643",26853,Luxembourg,Astra 2C,SES S.A.,"35768km � 35804km, 0.07�",1436.12,,Commercial,60e5620c98df02cf3580003c
Communications,GEO,19/12/2000,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland.",,,15,,"1,420",26638,Luxembourg,Astra 2D,SES S.A.,"35770km � 35802km, 0.07�",1436.1,,Commercial,60e5620c98df02cf3580003d
Communications,GEO,29/09/2013,"Broadcast, Vsat and broadband services to Europe.",,,15,,"6,052",39285,Luxembourg,Astra 2E,SES S.A.,"35781km � 35793km, 0.11�",1436.12,,Commercial,60e5620c98df02cf3580003e
Communications,GEO,28/09/2012,"Prime position for SES - BBC, ITV, Channel 5.",,,15,,"6,000",38778,Luxembourg,Astra 2F,SES S.A.,"35777km � 35795km, 0.06�",1436.07,,Commercial,60e5620c98df02cf3580003f
Communications,GEO,27/12/2014,62 Ku-band transponders as well as 4 Ka-band transponders,,,15,,"6,000",40364,Luxembourg,Astra 2G,SES S.A.,"35785km � 35789km, 0.09�",1436.11,,Commercial,60e5620c98df02cf35800040
Communications,GEO,29/03/2002,"20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland.",,,10,,"1,500",27400,Luxembourg,Astra 3A,SES S.A.,"35770km � 35804km, 0.06�",1436.07,,Commercial,60e5620c98df02cf35800041
Communications,GEO,21/05/2010,"60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market.",,,15,,"5,471",36581,Luxembourg,Astra 3B,SES S.A.,"35768km � 35806km, 0.08�",1436.11,,Commercial,60e5620c98df02cf35800042
Communications,GEO,22/03/2014,Comsat to cover Eastern Europe with Direct to Home and cable feeds to digital television networks. It also carries a hosted L-band payload for the European Commission�s European Geostationary Navigation Overlay Service (EGNOS).,,,15,,"5,724",39617,Luxembourg,Astra 5B,SES S.A.,"35787km � 35793km, 0.05�",1436.26,,Commercial,60e5620c98df02cf35800043
Technology Development,LEO,11/01/2018,"Pathfinder for Astranis' small GEO satellites.",,,,,,43127,USA,Astranis Demosat-2,Astranis,"494km � 505km, 97.5�",94.5,Sun-Synchronous,Commercial,60e5620c98df02cf35800044
Communications,LEO,03/12/2018,Part of Spaceflight SSO-A mission. ,,,,,4,43798,Switzerland,Astrocast 0.1,Astrocast,"574km � 590km, 97.7�",96.3,Sun-Synchronous,Commercial,60e5620c98df02cf35800045
Communications,LEO,01/04/2019,"Astrocast 02 is meant to blaze a trail for IoT (Internet of Things) applications to be offered by Switzerland's Astrocast venture.",,,,,4,44083,Switzerland,Astrocast 0.2,Astrocast,"493km � 510km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620c98df02cf35800046
Space Science,LEO,28/09/2015,"India's first space observatory.",,,5,,230,40930,India,Astrosat,Telemetry Tracking and Command Network (ISTRAC) Centre,"632km � 649km, 5.99�",97.54,Equatorial,Government,60e5620c98df02cf35800047
Communications,GEO,20/06/2019,DirecTV was bought out by AT&T in 2015. They intend to eliminate the DirecTV brand in the near future.,,,15,,"6,350",44333,USA,AT&T T16,"DirecTV, Inc.","35653km � 36757km, 0.02�",1436.07,,Commercial,60e5620c98df02cf35800048
Communications,GEO,06/02/2014,"Carries 2 payloads, one each for France and Italy. Operates in the Ka and EHF bands.",,,15,,"3,080",39509,France/Italy,Athena-Fidus,"Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI)","35784km � 35788km, 0.05�",1436.06,,Government/Military,60e5620c98df02cf35800049
Technology Development,LEO,16/12/2015,Technology demonstrator nanosatellite for Earth remote sensing.,,,,,6,41168,Singapore,Athenoxat-1,Microspace Rapid Pvt Ltd.,"532km � 550km, 14.98�",95.46,Equatorial,Commercial,60e5620c98df02cf3580004a
Technology Development,LEO,06/12/2019,5 cm by 5 cm picosat.,,,,,1,44830,Hungary,ATL-1,ATL (Advanced Technology of Laser),"328km � 372km, 97�",92,Sun-Synchronous,Commercial,60e5620c98df02cf3580004b
Technology Development,LEO,19/06/2014,Technology demonstration and testing of new satellite bus to be used for first commercial Russian remote sensing.,,,1,,25,40017,Russia,Aurora,SPUTNIX Ltd.,"583km � 618km, 97.99�",96.7,Sun-Synchronous,Commercial,60e5620c98df02cf3580004c
Communications,GEO,07/02/2013,First satellite for Azerbaijan. Operating from an orbital slot assigned to Malaysia.,,,15,,"3,250",39079,Azerbaijan,Azerspace 1/Africasat-1a,Azercosmos,"35778km � 35794km, 0.04�",1436.08,,Government,60e5620c98df02cf3580004d
Communications,GEO,25/09/2018,Host Direct-to-Home (DTH) platforms for Central and Eastern Europe as well as the Asia-Pacific region.� Intelsat 38 will also provide connectivity for corporate networks and government applications in Africa.�,,,15,,"3,500",43632,Azerbaijan,Azerspace 2/Intelsat-38,Azercosmos,"35750km � 35750km, 0.02�",1436.1,,Government,60e5620c98df02cf3580004e
Technology Development,LEO,19/02/2020,Built collaboratively by NASA and the Mexican Space Agency. Designed to demonstrate inter-satellite communication using satellites in the Globalstar constellation.,,,,,2,45257,USA/Mexico,AztecSat-1,Autonomous Popular University of the State of Puebla,"412km � 423km, 51.6�",92.9,Non-Polar Inclined,Government/Civil,60e5620c98df02cf3580004f
Communications,GEO,08/11/2006,28 Ku-band transponders; voice and video communications to West Asia region.,,,15,,"3,304",29526,Multinational,Badr 4,Arab Satellite Communications Org. (ASCO),"35780km � 35791km, 0.07�",1436.06,,Government,60e5620c98df02cf35800050
Communications,GEO,03/06/2010,"Second generation; radio and tv communications to Middle East; 26 C-band, 24 ku-band transponders.",,,15,,"5,420",36592,Multinational,Badr 5,Arab Satellite Communications Org. (ASCO),"35834km � 35883km, 0.06�",1439.76,,Government,60e5620c98df02cf35800051
Communications,GEO,26/06/2010,"26 C-band, 24 Ku-bandover sub-Saharan Africa, North Africa and the Middle East.",,,15,,"4,940",36745,Multinational,Badr 5A,Arab Satellite Communications Org. (ASCO),"35605km � 35623km, 0.03�",1427.27,,Government,60e5620c98df02cf35800052
Communications,GEO,07/07/2008,"24 C-band, 20 Ku-band transponders, direct-to-home voice, video, and internet services to the Middle East and North Africa.",,,15,,"3,400",33154,Multinational,Badr 6,Arab Satellite Communications Org. (ASCO),"35768km � 35805km, 0.05�",1436.1,,Government,60e5620c98df02cf35800053
Communications,GEO,10/11/2015,,,,15,,"5,500",41029,Multinational,Badr 7,Arab Satellite Communications Org. (ASCO),"35768km � 35817km, 0.1�","1,436.00",,Government,60e5620c98df02cf35800054
Communications,GEO,11/05/2018,"26 Ku-Band and 14 C-Band transponders. Major applications include DTH, very small aperture terminal (VSAT) communications, backhaul and trunking, network restoration, and disaster preparedness and relief.",,,15,,"3,500",43463,Bangladesh,Bangabandhu 1,Bangladesh Telecommunication Regulatory Commission (BTRC),"35778km � 35793km, 0�","1,436.06",,Government,60e5620c98df02cf35800055
Earth Observation,LEO,27/02/2015,Electronic intelligence gathering (ELINT).,Electronic Intelligence,,5,,"4,000",40420,Russia,Cosmos 2503,Ministry of Defense,"570km � 586km, 97.7�",96.1,Sun-Synchronous,Military,60e5620c98df02cf35800056
Earth Observation,LEO,24/03/2016,,Electronic Intelligence,,5,,"4,000",41394,Russia,Cosmos 2515,Ministry of Defense,"549km � 594km, 97.62�",96.10,Sun-Synchronous,Military,60e5620c98df02cf35800057
Earth Observation,LEO,21/12/2019,,,,3,,40,44879,China,BDSAGR-1,"GasTianta and GZH-HNJ BDS AGR Co., Ltd.","613km � 634km, 97.9�",97.10,Sun-Synchronous,Commercial,60e5620c98df02cf35800058
Technology Development,LEO,22/06/2016,,,,,,1,41619,Germany,Beesat-4,Technical University Berlin,"487km � 500km, 97�",94.50,Sun-Synchronous,Civil,60e5620c98df02cf35800059
Technology Development,LEO,05/07/2019,"Student built, will test an attitude control system.",,,,,1,44412,Germany,Beesat-9,Technical University Berlin,"514km � 546km, 97.5�",95.20,Sun-Synchronous,Civil,60e5620c98df02cf3580005a
Navigation/Global Positioning,MEO,28/04/2012,Part of Beidou constellation.,,,8,,"2,200",38250,China,Beidou 2-12,Chinese Defense Ministry,"21460km � 21595km, 55.16�",773.19,Non-Polar Inclined,Military/Government,60e5620c98df02cf3580005b
Navigation/Global Positioning,MEO,28/04/2012,Part of Beidou constellation.,,,8,,"2,200",38251,China,Beidou 2-13,Chinese Defense Ministry,"21452km � 21603km, 55.1�",773.21,Non-Polar Inclined,Military/Government,60e5620c98df02cf3580005c
Navigation/Global Positioning,MEO,18/09/2012,,,,8,,"3,800",38775,China,Beidou 2-15,Chinese Defense Ministry,"21477km � 21574km, 55�",773.1,Non-Polar Inclined,Military/Government,60e5620c98df02cf3580005d
Navigation/Global Positioning,GEO,25/10/2012,"Part of Beidou constellation, now operational.",,,8,,"3,800",38953,China,Beidou 2-16,Chinese Defense Ministry,"35775km � 35799km, 1.84�",1436.11,,Military/Government,60e5620c98df02cf3580005e
Navigation/Global Positioning,GEO,30/03/2016,,,,8,,"4,200",41434,China,Beidou 2-17,Chinese Defense Ministry,"35676km � 35890km, 54.97�",1435.92,,Military/Government,60e5620c98df02cf3580005f
Navigation/Global Positioning,GEO,12/06/2016,,,,8,,"3,800",41586,China,Beidou 2-18,Chinese Defense Ministry,"35776km � 35794km, 1.84�",1436.1,,Military/Government,60e5620c98df02cf35800060
Navigation/Global Positioning,GEO,30/03/2015,Third stage of Beidou constellation.,,,8,,"4,200",40549,China,Beidou 3I-1S,Chinese Defense Ministry,"35796km � 36781km, 54.9�",1461.81,,Military/Government,60e5620c98df02cf35800061
Navigation/Global Positioning,GEO,29/09/2015,,,,8,,"4,200",40938,China,Beidou 3I-2S,Chinese Defense Ministry,"35606km � 35953km, 55�",1435.73,,Military/Government,60e5620c98df02cf35800062
Navigation/Global Positioning,MEO,05/11/2017,Ultra-accurate rubidium atomic clocks on board,,,8,,800,43001,China,Beidou 3-M1,Chinese Defense Ministry,"21506km � 21549km, 55�",773.2,,Military/Government,60e5620c98df02cf35800063
Navigation/Global Positioning,MEO,22/09/2019,,,,8,,800,44542,China,Beidou 3-23,Chinese Defense Ministry,"21509km � 21561km, 55�",773.2,,Military/Government,60e5620c98df02cf35800064
Navigation/Global Positioning,MEO,22/09/2019,,,,8,,800,44543,China,Beidou 3-24,Chinese Defense Ministry,"21515km � 21554km, 55�",773.2,,Military/Government,60e5620c98df02cf35800065
Navigation/Global Positioning,MEO,05/11/2017,Ultra-accurate rubidium atomic clocks on board,,,8,,800,43002,China,Beidou 3-25,Chinese Defense Ministry,"21541km � 22549km, 55�",773.2,,Military/Government,60e5620c98df02cf35800066
Navigation/Global Positioning,MEO,25/07/2015,,,,8,,800,40748,China,Beidou 3M-1S,Chinese Defense Ministry,"21520km � 21549km, 55�",773.2,Non-Polar Inclined,Military/Government,60e5620c98df02cf35800067
Navigation/Global Positioning,MEO,25/07/2015,,,,8,,800,40749,China,Beidou 3M-2S,Chinese Defense Ministry,"21521km � 21550km, 55�",773.3,Non-Polar Inclined,Military/Government,60e5620c98df02cf35800068
Navigation/Global Positioning,MEO,01/02/2016,,,,8,,800,41315,China,Beidou 3M-3S,Chinese Defense Ministry,"21524km � 21532km, 55�",773.2,Non-Polar Inclined,Military/Government,60e5620c98df02cf35800069
Navigation/Global Positioning,MEO,11/01/2018,,,,8,,800,43107,China,Beidou DW 26,Chinese Defense Ministry,"21514km � 21541km, 55�",773.2,,Military/Government,60e5620c98df02cf3580006a
Navigation/Global Positioning,MEO,11/01/2018,,,,8,,800,43108,China,Beidou DW 27,Chinese Defense Ministry,"21516km � 21539km, 55�",773.2,,Military/Government,60e5620c98df02cf3580006b
Navigation/Global Positioning,MEO,12/02/2018,,,,8,,800,43207,China,Beidou DW 28,Chinese Defense Ministry,"21508km � 21547km, 55�",773.2,,Military/Government,60e5620c98df02cf3580006c
Navigation/Global Positioning,MEO,12/02/2018,,,,8,,800,43208,China,Beidou DW 29,Chinese Defense Ministry,"21504km � 21551km, 55�",773.2,,Military/Government,60e5620c98df02cf3580006d
Navigation/Global Positioning,MEO,29/03/2018,,,,8,,800,43246,China,Beidou DW 30,Chinese Defense Ministry,"21521km � 21533km, 55�",773.2,,Military/Government,60e5620c98df02cf3580006e
Navigation/Global Positioning,MEO,29/03/2018,,,,8,,800,43245,China,Beidou DW 31,Chinese Defense Ministry,"21542km � 22191km, 55�",773.2,,Military/Government,60e5620c98df02cf3580006f
Navigation/Global Positioning,GEO,09/07/2018,,,,8,,800,43539,China,Beidou DW 32,Chinese Defense Ministry,"35691km � 35876km, 55�",1436.1,,Military/Government,60e5620c98df02cf35800070
Navigation/Global Positioning,MEO,29/07/2018,,,,8,,800,43581,China,Beidou DW 33,Chinese Defense Ministry,"21509km � 21545km, 55�",773.2,,Military/Government,60e5620c98df02cf35800071
Navigation/Global Positioning,MEO,29/07/2018,,,,8,,800,43581,China,Beidou DW 34,Chinese Defense Ministry,"21516km � 21538km, 55�",773.2,,Military/Government,60e5620c98df02cf35800072
Navigation/Global Positioning,MEO,24/08/2018,,,,8,,800,43602,China,Beidou DW 35,Chinese Defense Ministry,"21514km � 21540km, 55�",773.2,,Military/Government,60e5620c98df02cf35800073
Navigation/Global Positioning,MEO,24/08/2018,,,,8,,800,43603,China,Beidou DW 36,Chinese Defense Ministry,"21518km � 21537km, 55�",773.2,,Military/Government,60e5620c98df02cf35800074
Navigation/Global Positioning,MEO,19/09/2018,,,,8,,800,43622,China,Beidou DW 37,Chinese Defense Ministry,"21533km � 22193km, 55�",787.1,,Military/Government,60e5620c98df02cf35800075
Navigation/Global Positioning,MEO,19/09/2018,,,,8,,800,43623,China,Beidou DW 38,Chinese Defense Ministry,"21513km � 21541km, 55�",773.1,,Military/Government,60e5620c98df02cf35800076
Navigation/Global Positioning,MEO,15/10/2018,,,,8,,800,43647,China,Beidou DW 39,Chinese Defense Ministry,"21541km � 22195km, 55�",787.4,,Military/Government,60e5620c98df02cf35800077
Navigation/Global Positioning,MEO,15/10/2018,,,,8,,800,43648,China,Beidou DW 40,Chinese Defense Ministry,"21537km � 22195km, 55�",787.4,,Military/Government,60e5620c98df02cf35800078
